"","Team","FBS","ELO"
"239","Illinois",1,1437.87464843406
"240","Colorado State",1,1361.92983046932
"241","Colorado",1,1558.44351690285
"242","Albany",0,1219.78995634851
"243","Connecticut",1,1154.01626198971
"244","Yale",0,1354.78739518258
"245","Georgetown",0,980.292391422057
"246","Howard",0,863.2166992446
"247","Delaware",0,1400.80942145457
"248","UAB",1,1472.42741371139
"249","Florida A&M",0,1085.24492908136
"250","Florida State",1,1583.13943389897
"251","Florida Tech",0,1151.20963782112
"252","Jacksonville State",0,1350.22113754429
"253","Stetson",0,879.98828130005
"254","Montana State-Northern",0,1180.73915092823
"255","Florida",1,1850.77602924118
"256","South Florida",1,1365.55360847635
"257","Georgia Tech",1,1540.6315764061
"258","South Alabama",1,1256.36612582097
"259","Georgia",1,2066.41083605775
"260","Hawai'i",1,1465.7757747135
"261","Iowa State",1,1782.54920077659
"262","Boise State",1,1679.48560084755
"263","Idaho",0,1166.23189615842
"264","Northwestern",1,1643.97508832635
"265","Southern Illinois",0,1369.88072825336
"266","Arkansas",1,1561.0998248069
"267","Indiana",1,1614.16839352054
"268","Notre Dame",1,1994.83277322524
"269","Arizona State",1,1678.29553196349
"270","Murray State",0,1102.44612019418
"271","Kentucky",1,1785.83467056997
"272","Louisville",1,1610.4178674008
"273","Western Kentucky",1,1434.0339769636
"274","LSU",1,1891.25330039672
"275","Adams State",0,1200
"276","Albany State (GA)",0,1200
"277","Albion",0,1200
"278","Alderson-Broaddus",0,1200
"279","Allen",0,1200
"280","American International",0,1200
"281","Angelo State",0,1200
"282","Apprentice School",0,1200
"283","Arizona Christian",0,1200
"284","Arkansas-Monticello",0,1200
"285","Arkansas Tech",0,1200
"286","Assumption",0,1200
"287","Augustana (SD)",0,1200
"288","Augustana University (SD)",0,1200
"289","Aurora",0,1200
"290","Ave Maria",0,1200
"291","Azusa Pacific",0,1200
"292","Bacone College",0,1200
"293","Baker University",0,1200
"294","Belhaven University",0,1200
"295","Bemidji State",0,1200
"296","Benedict College",0,1200
"297","Bentley",0,1200
"298","Berry College",0,1200
"299","Bethany (KS)",0,1200
"300","Bethel (TN)",0,1200
"301","Birmingham-Southern",0,1200
"302","Black Hills State",0,1200
"303","Bloomsburg",0,1200
"304","Bluefield College",0,1200
"305","Bowie State",0,1200
"306","Brevard College",0,1200
"307","Buffalo State",0,1200
"308","California (PA)",0,1200
"309","Campbellsville",0,1200
"310","Carnegie Mellon",0,1200
"311","Carson-Newman",0,1200
"312","Carthage",0,1200
"313","Catawba",0,1200
"314","Catholic University",0,1200
"315","Central Methodist",0,1200
"316","Central Missouri State",0,1200
"317","Central Oklahoma",0,1200
"318","Central State",0,1200
"319","Central State (OH)",0,1200
"320","Central Washington",0,1200
"321","Centre",0,1200
"322","Chadron State",0,1200
"323","Chapman University",0,1200
"324","Charleston (WV)",0,1200
"325","Cheyney",0,1200
"326","Chowan",0,1200
"327","Clarion",0,1200
"328","Clark Atlanta",0,1200
"329","College of Faith",0,1200
"330","College of Faith - Charlotte",0,1200
"331","College of Idaho",0,1200
"332","College of New Jersey",0,1200
"333","Colorado Mesa",0,1200
"334","Colorado Mines",0,1200
"335","Colorado School of Mines",0,1200
"336","Colorado State-Pueblo",0,1200
"337","Concord",0,1200
"338","Concordia-St. Paul",0,1200
"339","Concordia (AL)",0,1200
"340","Concordia (WI)",0,1200
"341","Concordia College (MI)",0,1200
"342","Culver-Stockton",0,1200
"343","Cumberland",0,1200
"344","Cumberland College",0,1200
"345","Delaware Valley",0,1200
"346","Delta State",0,1200
"347","Doane College",0,1200
"348","East Central",0,1200
"349","East Stroudsburg",0,1200
"350","Eastern New Mexico",0,1200
"351","Eastern Oregon",0,1200
"352","Edinboro",0,1200
"353","Edward Waters",0,1200
"354","Elizabeth City State",0,1200
"355","Emory & Henry",0,1200
"356","Emporia State",0,1200
"357","Evangel",0,1200
"358","Fairmont State",0,1200
"359","Faulkner",0,1200
"360","Fayetteville State",0,1200
"361","Ferris State",0,1200
"362","Findlay",0,1200
"363","Fort Lewis",0,1200
"364","Fort Valley State",0,1200
"365","Franklin",0,1200
"366","Franklin Pierce",0,1200
"367","Frostburg State",0,1200
"368","Gannon",0,1200
"369","Geneva College",0,1200
"370","Glenville State",0,1200
"371","Grand Valley State",0,1200
"372","Grand View",0,1200
"373","Greensboro College",0,1200
"374","Guilford",0,1200
"375","Hampden-Sydney",0,1200
"376","Hanover",0,1200
"377","Harding",0,1200
"378","Hartwick",0,1200
"379","Henderson State",0,1200
"380","Hillsdale",0,1200
"381","Hope",0,1200
"382","Humboldt State",0,1200
"383","Huntingdon",0,1200
"384","Husson",0,1200
"385","Indiana Wesleyan",0,1200
"386","Indianapolis",0,1200
"387","Iowa Wesleyan",0,1200
"388","Johnson C Smith",0,1200
"389","Johnson Smith",0,1200
"390","Kalamazoo",0,1200
"391","Kean University",0,1200
"392","Kentucky Christian",0,1200
"393","Kentucky State",0,1200
"394","Kentucky Wesleyan",0,1200
"395","La Verne",0,1200
"396","Lambuth",0,1200
"397","Lane",0,1200
"398","Lane College",0,1200
"399","Langston",0,1200
"400","Lenoir-Rhyne",0,1200
"401","Limestone",0,1200
"402","Lincoln (MO)",0,1200
"403","Lincoln (PA)",0,1200
"404","Lindenwood",0,1200
"405","Lindsey Wilson",0,1200
"406","Linfield",0,1200
"407","LIU Post",0,1200
"408","Livingstone",0,1200
"409","Lock Haven",0,1200
"410","Louisiana College",0,1200
"411","Lynchburg",0,1200
"412","Malone",0,1200
"413","Mansfield",0,1200
"414","Marian",0,1200
"415","Mars Hill",0,1200
"416","Maryville TN",0,1200
