"","Team","FBS","ELO"
"373","Greensboro College",0,1200
"374","Guilford",0,1200
"375","Hampden-Sydney",0,1200
"376","Hanover",0,1200
"377","Harding",0,1200
"378","Hartwick",0,1200
"379","Henderson State",0,1200
"380","Hillsdale",0,1200
"381","Hope",0,1200
"382","Humboldt State",0,1200
"383","Huntingdon",0,1200
"384","Husson",0,1200
"385","Indiana Wesleyan",0,1200
"386","Indianapolis",0,1200
"387","Iowa Wesleyan",0,1200
"388","Johnson C Smith",0,1200
"389","Johnson Smith",0,1200
"390","Kalamazoo",0,1200
"391","Kean University",0,1200
"392","Kentucky Christian",0,1200
"393","Kentucky State",0,1200
"394","Kentucky Wesleyan",0,1200
"395","La Verne",0,1200
"396","Lambuth",0,1200
"397","Lane",0,1200
"398","Lane College",0,1200
"399","Langston",0,1200
"400","Lenoir-Rhyne",0,1200
"401","Limestone",0,1200
"402","Lincoln (MO)",0,1200
"403","Lincoln (PA)",0,1200
"404","Lindenwood",0,1200
"405","Lindsey Wilson",0,1200
"406","Linfield",0,1200
"407","LIU Post",0,1200
"408","Livingstone",0,1200
"409","Lock Haven",0,1200
"410","Louisiana College",0,1200
"411","Lynchburg",0,1200
"412","Malone",0,1200
"413","Mansfield",0,1200
"414","Marian",0,1200
"415","Mars Hill",0,1200
"416","Maryville TN",0,1200
"417","Mayville State",0,1200
"418","McDaniel College",0,1200
"419","McKendree",0,1200
"420","McMurry",0,1200
"421","Menlo",0,1200
"422","Menlo College",0,1200
"423","Mercyhurst",0,1200
"424","Methodist",0,1200
"425","Mid-America Nazarene",0,1200
"426","Midwestern State",0,1200
"427","Miles",0,1200
"428","Miles College",0,1200
"429","Millersville",0,1200
"430","Millersville University",0,1200
"431","Millsaps",0,1200
"432","Minnesota-Crookston",0,1200
"433","Minnesota-Duluth",0,1200
"434","Minnesota St-Moorhead",0,1200
"435","Minnesota State",0,1200
"436","Minot State",0,1200
"437","Mississippi College",0,1200
"438","Missouri Baptist",0,1200
"439","Missouri S&T",0,1200
"440","Missouri Western",0,1200
"441","Montana Tech",0,1200
"442","Montclair State",0,1200
"443","Monterrey Tech",0,1200
"444","Morehouse",0,1200
"445","Morehouse College",0,1200
"446","Morris Brown",0,1200
"447","Mount St. Joseph",0,1200
"448","NC Wesleyan",0,1200
"449","Nebraska-Kearney",0,1200
"450","Nebraska-Omaha",0,1200
"451","New Haven",0,1200
"452","New Mexico Highlands",0,1200
"453","Newberry",0,1200
"454","North Greenville",0,1200
"455","Northeastern State",0,1200
"456","Northern Michigan",0,1200
"457","Northern State",0,1200
"458","Northwest Missouri State",0,1200
"459","Northwestern Oklahoma State",0,1200
"460","Notre Dame College",0,1200
"461","Ohio Dominican",0,1200
"462","Ohio Northern",0,1200
"463","OK Panhandle St",0,1200
"464","Oklahoma Baptist",0,1200
"465","Oklahoma Panhandle State",0,1200
"466","Ouachita Baptist",0,1200
"467","Pace",0,1200
"468","Paul Quinn",0,1200
"469","Pikeville",0,1200
"470","Pittsburg State",0,1200
"471","Point University",0,1200
"472","Quincy",0,1200
"473","Randolph-Macon",0,1200
"474","Redlands",0,1200
"475","Reinhardt",0,1200
"476","Rhodes",0,1200
"477","Rhodes College",0,1200
"478","Rocky Mountain",0,1200
"479","Rowan",0,1200
"480","Salve Regina",0,1200
"481","Savannah State",0,1200
"482","Shaw",0,1200
"483","Shepherd",0,1200
"484","Shippensburg",0,1200
"485","Shorter",0,1200
"486","Simon Fraser",0,1200
"487","Sioux Falls",0,1200
"488","Slippery Rock",0,1200
"489","South Dakota Mines",0,1200
"490","Southeastern Oklahoma",0,1200
"491","Southern Arkansas",0,1200
"492","Southern Connecticut State",0,1200
"493","Southern Oregon",0,1200
"494","Southern Virginia",0,1200
"495","Southwest Baptist",0,1200
"496","Southwest Minnesota State",0,1200
"497","Southwestern Assemblies of God",0,1200
"498","Southwestern College",0,1200
"499","Southwestern Oklahoma",0,1200
"500","St. Ambrose",0,1200
"501","St. Andrews",0,1200
"502","St. Anselm",0,1200
"503","St. Augustine's",0,1200
"504","St. Francis (IL)",0,1200
"505","St. Francis (IN)",0,1200
"506","St. Joseph's (IN)",0,1200
"507","St. Paul's College",0,1200
"508","St. Peter's",0,1200
"509","St. Xavier (IL)",0,1200
"510","Stillman",0,1200
"511","Stonehill",0,1200
"512","Stonehill College",0,1200
"513","SUNY Maritime",0,1200
"514","Taylor",0,1200
"515","TBD",0,1200
"516","Texas A&M-Commerce",0,1200
"517","Texas A&M-Kingsville",0,1200
"518","Texas College",0,1200
"519","Texas Lutheran",0,1200
"520","Texas Wesleyan",0,1200
"521","Tiffin",0,1200
"522","Tiffin University",0,1200
"523","Trinity International (IL)",0,1200
"524","Truman State",0,1200
"525","Tusculum",0,1200
"526","Tuskegee",0,1200
"527","UNC Pembroke",0,1200
"528","Union College",0,1200
"529","University of Faith",0,1200
"530","University of Mary",0,1200
"531","University of Texas of the Permian Basin",0,1200
"532","Upper Iowa",0,1200
"533","Urbana",0,1200
"534","Ursinus",0,1200
"535","Ursinus College",0,1200
"536","UVA-Wise",0,1200
"537","UVA Wise",0,1200
"538","UW-Oshkosh",0,1200
"539","UW-Whitewater",0,1200
"540","Valdosta State",0,1200
"541","Virginia-Wise",0,1200
"542","Virginia Lynchburg",0,1200
"543","Virginia State",0,1200
"544","Virginia Union",0,1200
"545","Waldorf",0,1200
"546","Walsh",0,1200
"547","Warner",0,1200
"548","Washburn",0,1200
"549","Wayland Baptist",0,1200
"550","Wayne State (MI)",0,1200
"551","Wayne State (NE)",0,1200
"552","Webber International",0,1200
"553","Wesley College",0,1200
"554","West Alabama",0,1200
"555","West Chester",0,1200
"556","West Florida",0,1200
"557","West Georgia",0,1200
"558","West Liberty",0,1200
"559","West Texas A&M",0,1200
"560","West Virginia State",0,1200
"561","West Virginia Tech",0,1200
"562","West Virginia Wesleyan",0,1200
"563","Western Colorado",0,1200
"564","Western Connecticut State",0,1200
"565","Western New England",0,1200
"566","Western New Mexico",0,1200
"567","Western Oregon",0,1200
"568","Western State",0,1200
"569","Western State Colorado",0,1200
"570","Western Washington",0,1200
"571","Willamette",0,1200
"572","William Jewell College",0,1200
"573","William Penn",0,1200
"574","Wingate",0,1200
"575","Winona State",0,1200
"576","Winston-Salem",0,1200
"577","Wisconsin-Eau Claire",0,1200
"578","Wisconsin-La Crosse",0,1200
"579","Wisconsin-Platteville",0,1200
"580","Wisconsin-Stevens Point",0,1200
"581","Wisconsin Lutheran",0,1200
"582","Wittenberg",0,1200
"583","Wittenberg University",0,1200
"584","Worcester Polytechnic",0,1200
"585","WV State",0,1200
"586","WV Wesleyan",0,1200
